country,currency,reference_number,fiscal_id,document_type,total_invoice,issued_date,payment_date,contact_company,contact_telephone,contact_email,payer_company,status
CL,CLP,16308,76018303-2,33,"5,864,496.00",07-02-2022,08-04-2022,SCALEAQ CHILE SPA,65,odette.munoz@scaleaq.com,EXPORTADORA LOS FIORDOS,Disponible
CL,CLP,178944,77575690-K,33,"2,507,896.00",07-02-2022,08-04-2022,PLASTICOS ARPOLI SPA,223078300,Claudia.Beltran@Arpoli.cl,PROCESADORA DE ALIMENTOS DEL SUR LTDA.,Disponible
CL,CLP,11620,78586090-K,33,"2,354,910.00",07-02-2022,08-04-2022,FAB Y COM PROD. DE PAPEL BOLSAPAC L,5526823,fernando.pantoja@bolsapac.cl,FAENADORA SAN VICENTE LTDA.,Disponible
CL,CLP,111914,76253631-5,33,"7,383,957.00",08-02-2022,11-04-2022,Malfanti S. A.,26870900,ccaballero@malfanti.cl,FAENADORA SAN VICENTE LTDA.,Disponible
CL,CLP,111916,76253631-5,33,"1,576,512.00",08-02-2022,11-04-2022,Malfanti S. A.,26870900,ccaballero@malfanti.cl,PROCESADORA DE ALIMENTOS DEL SUR LTDA.,Disponible
CL,CLP,252132,85172100-2,33,"2,881,276.00",08-02-2022,11-04-2022,Industria de Plasticos Serplas SA,4416600,mpoblete@serplas.cl,PROCESADORA DE ALIMENTOS DEL SUR LTDA.,Disponible
CL,CLP,111915,76253631-5,33,"2,080,210.00",08-02-2022,11-04-2022,Malfanti S. A.,26870900,ccaballero@malfanti.cl,PROCESADORA DE ALIMENTOS DEL SUR LTDA.,Disponible
CL,CLP,11625,78586090-K,33,"2,780,918.00",08-02-2022,11-04-2022,FAB Y COM PROD. DE PAPEL BOLSAPAC L,5526823,fernando.pantoja@bolsapac.cl,PROCESADORA DE ALIMENTOS DEL SUR LTDA.,Disponible
CL,CLP,11623,78586090-K,33,"1,019,116.00",08-02-2022,11-04-2022,FAB Y COM PROD. DE PAPEL BOLSAPAC L,5526823,fernando.pantoja@bolsapac.cl,PROCESADORA DE ALIMENTOS DEL SUR LTDA.,Disponible
CL,CLP,11624,78586090-K,33,"5,943,645.00",08-02-2022,11-04-2022,FAB Y COM PROD. DE PAPEL BOLSAPAC L,5526823,fernando.pantoja@bolsapac.cl,PROCESADORA DE ALIMENTOS DEL SUR LTDA.,Disponible
CL,CLP,111917,76253631-5,33,"6,908,188.00",08-02-2022,11-04-2022,Malfanti S. A.,26870900,ccaballero@malfanti.cl,PROCESADORA DE ALIMENTOS DEL SUR LTDA.,Disponible
CL,CLP,11614,78586090-K,33,"1,115,070.00",07-02-2022,08-04-2022,FAB Y COM PROD. DE PAPEL BOLSAPAC L,5526823,fernando.pantoja@bolsapac.cl,FAENADORA SAN VICENTE LTDA.,Disponible
CL,CLP,11619,78586090-K,33,"2,394,207.00",07-02-2022,08-04-2022,FAB Y COM PROD. DE PAPEL BOLSAPAC L,5526823,fernando.pantoja@bolsapac.cl,FAENADORA SAN VICENTE LTDA.,Disponible
CL,CLP,11618,78586090-K,33,"3,597,205.00",07-02-2022,08-04-2022,FAB Y COM PROD. DE PAPEL BOLSAPAC L,5526823,fernando.pantoja@bolsapac.cl,FAENADORA SAN VICENTE LTDA.,Disponible
CL,CLP,11615,78586090-K,33,"2,141,720.00",07-02-2022,08-04-2022,FAB Y COM PROD. DE PAPEL BOLSAPAC L,5526823,fernando.pantoja@bolsapac.cl,FAENADORA SAN VICENTE LTDA.,Disponible
CL,CLP,11622,78586090-K,33,"3,270,052.00",07-02-2022,08-04-2022,FAB Y COM PROD. DE PAPEL BOLSAPAC L,5526823,fernando.pantoja@bolsapac.cl,FAENADORA SAN VICENTE LTDA.,Disponible
CL,CLP,11616,78586090-K,33,"5,992,885.00",07-02-2022,08-04-2022,FAB Y COM PROD. DE PAPEL BOLSAPAC L,5526823,fernando.pantoja@bolsapac.cl,FAENADORA SAN VICENTE LTDA.,Disponible
CL,CLP,11617,78586090-K,33,"3,575,102.00",07-02-2022,08-04-2022,FAB Y COM PROD. DE PAPEL BOLSAPAC L,5526823,fernando.pantoja@bolsapac.cl,FAENADORA SAN VICENTE LTDA.,Disponible
CL,CLP,178972,77575690-K,33,"208,250.00",07-02-2022,08-04-2022,PLASTICOS ARPOLI SPA,223078300,Claudia.Beltran@Arpoli.cl,FAENADORA LO MIRANDA LTDA.,Disponible
CL,CLP,178974,77575690-K,33,"64,900.00",07-02-2022,08-04-2022,PLASTICOS ARPOLI SPA,223078300,Claudia.Beltran@Arpoli.cl,FAENADORA LO MIRANDA LTDA.,Disponible
CL,CLP,252140,85172100-2,33,"7,184,370.00",08-02-2022,11-04-2022,Industria de Plasticos Serplas SA,4416600,mpoblete@serplas.cl,FAENADORA SAN VICENTE LTDA.,Disponible
CL,CLP,111930,76253631-5,33,"25,562,446.00",08-02-2022,11-04-2022,Malfanti S. A.,26870900,ccaballero@malfanti.cl,FAENADORA LO MIRANDA LTDA.,Disponible
